,Name,Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
1352,Restaurant 1352,Downtown,American,3.1,84,38.73,5756,62746,14,589,165.86011015169407,8.0,3.9,Yes,47,25,748164.94
1353,Restaurant 1353,Rural,Italian,4.7,39,52.69,1284,22094,10,977,214.7159577696524,8.6,5.7,Yes,35,24,475268.7
1354,Restaurant 1354,Downtown,Indian,4.3,86,33.2,6674,68107,13,472,223.91305393535123,8.1,4.8,Yes,48,14,661157.55
1355,Restaurant 1355,Suburban,Mexican,3.8,62,30.5,2315,29781,10,777,243.7626550580476,3.2,9.0,No,27,42,438849.05
1356,Restaurant 1356,Suburban,American,3.0,50,43.98,875,14088,13,807,126.76209592238447,8.9,10.0,Yes,35,30,510520.6
1357,Restaurant 1357,Downtown,Japanese,4.2,80,66.72,1780,23887,13,248,78.60842481710799,1.6,1.6,No,53,33,1193632.67
1358,Restaurant 1358,Rural,Japanese,3.0,34,75.75,2570,28835,1,240,220.4700150531424,4.1,7.6,No,4,7,577494.5
1359,Restaurant 1359,Downtown,French,3.0,78,55.77,5945,64900,5,964,80.27119374978987,5.2,4.3,No,37,26,980017.15
1360,Restaurant 1360,Rural,American,4.2,36,40.87,3573,35230,16,178,165.5036555287253,1.6,2.3,No,12,3,348259.13
1361,Restaurant 1361,Suburban,Japanese,3.4,56,75.08,1815,19378,6,210,107.67540826544251,6.2,4.6,No,14,11,938169.52
1362,Restaurant 1362,Rural,Japanese,3.4,31,75.4,2999,33767,4,82,133.0177607968751,6.0,10.0,No,3,30,532729.65
1363,Restaurant 1363,Suburban,Indian,4.3,68,32.55,2151,26517,10,60,167.65615190640682,9.9,4.2,No,54,19,508833.1
1364,Restaurant 1364,Rural,French,3.1,49,56.58,2830,28800,11,556,274.0441581786319,6.6,3.5,Yes,37,47,634759.7
1365,Restaurant 1365,Rural,Mexican,3.6,47,32.97,3097,32728,2,493,220.10592461787564,4.6,8.6,No,30,16,356744.73
1366,Restaurant 1366,Rural,Japanese,3.3,39,65.46,3278,39074,9,264,92.90917365068464,8.1,8.8,No,29,30,587804.7
1367,Restaurant 1367,Downtown,Italian,4.2,74,50.34,5426,54480,14,803,269.8618579823774,4.0,4.0,No,65,31,851111.68
1368,Restaurant 1368,Downtown,Italian,4.3,85,53.76,6506,65909,2,542,175.1357512072211,5.8,3.7,No,70,65,1028888.45
1369,Restaurant 1369,Suburban,Mexican,4.4,54,31.16,2612,33485,5,845,101.06349648804265,1.5,6.8,Yes,8,27,386021.01
1370,Restaurant 1370,Suburban,American,3.5,64,37.07,2472,30122,12,807,181.8595424998762,3.9,2.8,No,28,20,543530.58
1371,Restaurant 1371,Downtown,French,3.2,85,60.36,1825,17327,1,239,97.7314182394463,5.8,5.4,No,29,49,1138991.33
1372,Restaurant 1372,Suburban,Indian,3.2,53,40.13,1247,17679,19,864,141.83127554518953,7.3,2.3,No,18,12,495275.26
1373,Restaurant 1373,Downtown,Italian,3.9,83,51.79,6543,67410,12,450,251.38096334624552,1.9,3.7,Yes,21,26,972705.96
1374,Restaurant 1374,Rural,Italian,4.9,46,52.94,2870,32134,12,891,214.65388575163624,8.2,3.7,Yes,35,25,562137.66
1375,Restaurant 1375,Suburban,Mexican,3.4,66,28.7,2001,26201,5,633,169.48548659334682,9.1,7.3,No,52,52,436592.15
1376,Restaurant 1376,Suburban,American,3.5,70,37.07,1234,20352,2,294,106.60983532729122,3.5,3.5,No,56,33,580538.93
1377,Restaurant 1377,Downtown,American,3.2,85,37.81,3389,37426,14,442,120.5423528987928,7.9,9.1,No,2,81,737310.18
1378,Restaurant 1378,Suburban,Mexican,4.2,58,30.86,1831,20613,17,132,294.5591023624488,2.6,9.8,Yes,56,48,422434.31
1379,Restaurant 1379,Suburban,Italian,4.4,51,48.08,3237,34606,15,163,135.73419075166314,5.7,1.7,Yes,29,9,564444.36
1380,Restaurant 1380,Rural,French,4.3,40,60.96,2261,28223,17,825,204.03188766343575,8.2,4.6,No,36,18,567154.09
1381,Restaurant 1381,Suburban,Italian,4.7,64,52.79,4522,47037,2,118,174.9370469017759,4.5,3.7,No,15,49,758754.05
1382,Restaurant 1382,Rural,American,4.0,32,43.08,2730,35626,8,383,55.77602190584706,1.2,4.2,Yes,18,22,320970.14
1383,Restaurant 1383,Downtown,Indian,3.3,85,31.81,1915,20167,10,862,286.1686988512792,5.9,3.4,Yes,65,56,616247.01
1384,Restaurant 1384,Suburban,Italian,3.6,70,53.25,2328,30006,3,210,71.98231547444641,8.6,4.4,Yes,46,11,834270.05
1385,Restaurant 1385,Rural,French,4.3,48,62.4,2165,27364,11,156,214.67693602281156,2.0,2.3,No,27,23,677146.5
1386,Restaurant 1386,Downtown,Japanese,4.2,75,65.13,6691,73551,9,855,252.7560640227825,1.3,3.5,No,28,64,1102576.26
1387,Restaurant 1387,Suburban,Italian,4.1,63,45.65,3490,42381,15,496,237.1836732169305,8.3,7.7,No,26,8,662731.2
1388,Restaurant 1388,Downtown,Mexican,4.4,74,32.11,6605,68829,11,189,252.3125793893034,3.4,4.1,No,44,44,551677.29
1389,Restaurant 1389,Suburban,Japanese,4.3,54,69.22,2861,29479,3,884,234.93000512517057,4.3,2.9,No,5,27,834944.21
1390,Restaurant 1390,Downtown,Mexican,4.8,75,26.61,5747,61195,7,409,161.39304173925467,1.8,2.0,No,62,43,461261.55
1391,Restaurant 1391,Downtown,Mexican,4.2,87,25.49,2302,23707,7,974,274.0686480102879,1.9,4.1,No,17,47,503878.68
1392,Restaurant 1392,Rural,Mexican,4.6,47,26.75,4189,50249,4,199,278.1102722020138,6.5,6.8,Yes,39,18,296706.45
1393,Restaurant 1393,Downtown,Italian,3.5,88,55.53,6602,68343,6,979,159.23871947001442,6.0,3.3,Yes,68,85,1104598.4
1394,Restaurant 1394,Suburban,American,4.4,51,43.0,2370,26604,19,887,171.19408741195957,3.6,4.8,Yes,9,17,511244.2
1395,Restaurant 1395,Suburban,Japanese,4.8,66,70.8,3263,35052,14,148,171.41159923776058,5.1,9.6,No,23,53,1057017.1
1396,Restaurant 1396,Rural,French,3.8,30,65.36,2763,31949,4,216,119.72570482561213,4.5,6.0,Yes,24,11,447126.75
1397,Restaurant 1397,Suburban,American,4.6,58,41.81,2879,35125,19,705,78.73415607774685,7.3,5.8,Yes,6,8,564690.71
1398,Restaurant 1398,Suburban,Italian,4.4,62,52.98,3742,37733,19,720,115.49488072683836,8.8,4.7,No,32,35,757601.75
1399,Restaurant 1399,Suburban,Mexican,3.1,53,28.11,1466,17989,17,994,261.02595211491695,7.9,6.0,No,11,14,356011.97
1400,Restaurant 1400,Downtown,French,4.2,74,61.48,1844,25879,19,861,185.764056967529,1.0,9.9,Yes,59,8,1030695.99
1401,Restaurant 1401,Downtown,Japanese,3.3,87,66.58,5414,61375,12,512,262.54953718011706,1.9,3.3,No,56,8,1299623.61
1402,Restaurant 1402,Suburban,American,4.9,59,39.45,1127,16371,17,863,236.29048437264663,4.9,9.5,No,19,45,540693.3
1403,Restaurant 1403,Rural,Indian,4.6,33,30.37,1917,24167,15,946,137.1536286493846,8.7,2.3,No,14,30,247296.12
1404,Restaurant 1404,Downtown,American,3.2,82,37.38,4970,54595,9,939,96.32812511089092,3.1,2.0,Yes,72,54,699592.67
1405,Restaurant 1405,Rural,French,3.2,42,55.82,913,7871,16,605,191.80495307794683,8.9,6.9,Yes,15,5,541421.81
1406,Restaurant 1406,Suburban,Italian,4.2,66,49.27,3358,37642,18,901,283.96417640689174,2.0,3.3,No,61,57,747333.54
1407,Restaurant 1407,Suburban,Japanese,3.7,57,74.27,984,17938,18,648,259.85380169353425,1.7,5.0,Yes,22,49,957404.48
1408,Restaurant 1408,Downtown,French,3.1,73,59.16,3168,38155,4,133,240.95887314924408,9.2,7.6,Yes,6,14,966299.87
1409,Restaurant 1409,Suburban,Mexican,4.1,52,34.15,3546,42281,4,657,241.04352044774444,2.5,5.8,Yes,27,39,408051.15
1410,Restaurant 1410,Downtown,Japanese,3.8,80,72.22,2196,28940,1,351,181.93832385025812,5.2,1.1,No,62,9,1280015.02
1411,Restaurant 1411,Suburban,American,3.2,61,40.6,1251,17319,5,289,92.38159219002348,3.9,3.8,Yes,9,0,554911.25
1412,Restaurant 1412,Suburban,French,4.6,58,57.61,4314,47474,12,266,121.38614011771,2.3,1.6,Yes,14,7,756298.73
1413,Restaurant 1413,Downtown,American,4.8,84,45.14,9024,94729,14,800,194.47320969579192,6.7,9.3,Yes,57,23,875879.09
1414,Restaurant 1414,Downtown,American,4.5,82,35.6,5804,66988,10,633,129.08835623677857,9.7,8.2,Yes,6,63,674032.6
1415,Restaurant 1415,Downtown,American,4.6,74,42.58,4552,49216,18,230,245.3916897567232,6.9,9.9,No,54,47,730500.86
1416,Restaurant 1416,Suburban,Italian,3.4,54,51.83,2884,34391,10,466,143.30419028517264,4.2,9.0,No,21,35,639421.61
1417,Restaurant 1417,Suburban,American,3.5,68,39.85,2285,26164,16,734,78.47411992305082,7.4,5.3,No,52,49,626024.75
1418,Restaurant 1418,Rural,Mexican,3.4,40,27.64,2309,25270,6,241,245.6360882583181,2.3,8.9,Yes,21,2,259571.12
1419,Restaurant 1419,Downtown,Mexican,4.5,78,29.74,3640,44374,3,143,224.53254581822551,6.2,7.1,Yes,20,69,528280.24
1420,Restaurant 1420,Suburban,Japanese,4.9,52,74.6,2498,28480,15,948,113.28921336382504,5.2,5.7,Yes,25,37,881687.0
1421,Restaurant 1421,Suburban,Indian,4.4,67,39.2,3043,36804,5,713,295.2788074266477,4.2,4.3,Yes,14,63,595280.7
1422,Restaurant 1422,Downtown,American,4.8,82,45.36,5375,62951,6,720,150.7973809014164,7.7,7.1,Yes,61,24,844480.53
1423,Restaurant 1423,Rural,American,4.3,41,38.39,3249,38055,12,376,220.11516837615127,2.1,6.3,Yes,23,40,370850.63
1424,Restaurant 1424,Downtown,French,3.8,78,59.26,6871,67950,1,857,277.6121100662468,5.8,6.5,No,51,58,1041306.66
1425,Restaurant 1425,Rural,Italian,3.9,39,45.21,1493,17637,10,514,88.99914707856809,8.7,4.6,No,15,32,409062.83
1426,Restaurant 1426,Suburban,Indian,3.2,62,40.37,3194,30613,3,483,269.755447667664,2.8,7.7,Yes,54,10,566265.19
1427,Restaurant 1427,Rural,Japanese,3.1,49,68.62,2946,34849,5,379,225.9782161122365,3.4,1.7,No,36,11,754055.81
1428,Restaurant 1428,Suburban,Indian,4.4,69,34.45,2243,23687,15,576,91.89069348894078,6.9,7.5,Yes,67,0,550782.95
1429,Restaurant 1429,Downtown,American,3.9,82,44.99,4691,48589,4,168,216.12804551535905,8.0,7.6,Yes,17,67,833311.53
1430,Restaurant 1430,Downtown,French,4.1,78,60.79,6877,72906,19,70,268.6439044362114,3.6,5.6,Yes,36,68,1082437.74
1431,Restaurant 1431,Downtown,Italian,4.1,79,51.23,8198,85422,17,70,249.7538519960325,4.2,3.4,No,74,58,930600.69
1432,Restaurant 1432,Rural,Japanese,3.6,48,66.94,2200,30338,8,365,240.15174312895388,7.7,5.7,Yes,12,10,725392.86
1433,Restaurant 1433,Suburban,Indian,4.0,55,35.49,3483,42578,5,270,90.33403708331493,3.6,2.1,Yes,5,29,444427.11
1434,Restaurant 1434,Downtown,Japanese,3.9,76,75.1,3643,40573,4,667,97.65602763143588,7.0,3.6,No,32,32,1272897.95
1435,Restaurant 1435,Downtown,American,3.8,84,41.15,2717,33003,19,794,186.9291137462552,2.4,4.8,Yes,35,39,789954.15
1436,Restaurant 1436,Suburban,Japanese,4.6,68,67.81,1769,21632,9,114,195.0365041628416,4.7,7.1,No,20,21,1031469.83
1437,Restaurant 1437,Downtown,French,3.9,83,55.34,6804,71994,13,198,285.9060159046338,7.2,2.7,No,51,24,1042217.38
1438,Restaurant 1438,Suburban,Japanese,4.2,65,68.7,2233,24868,17,232,167.17033366413887,5.1,2.4,No,17,3,1005125.4
1439,Restaurant 1439,Suburban,Mexican,4.8,63,31.3,2738,34937,8,630,125.625651815343,1.2,6.5,Yes,16,11,451655.05
1440,Restaurant 1440,Suburban,French,4.7,69,55.47,3020,36194,19,768,97.6932278076554,4.7,7.1,No,8,3,871593.04
1441,Restaurant 1441,Suburban,Indian,4.8,51,36.71,2137,25389,11,671,63.54273896897748,3.6,1.8,Yes,14,22,430852.5
1442,Restaurant 1442,Suburban,Italian,3.5,58,50.76,1864,25326,14,331,67.16339360770783,1.9,1.3,No,28,37,668377.22
1443,Restaurant 1443,Rural,Italian,3.1,32,53.62,845,12965,18,380,193.5417315945034,1.1,2.3,No,3,5,398573.67
1444,Restaurant 1444,Downtown,American,3.5,75,35.32,6523,65624,5,104,94.0654895207026,1.4,9.1,Yes,74,57,608281.62
1445,Restaurant 1445,Rural,American,3.6,34,43.59,2122,25279,12,162,262.90427385020814,9.5,7.1,Yes,23,32,352039.54
1446,Restaurant 1446,Downtown,Mexican,4.8,83,30.73,7242,82164,16,262,199.1179549478535,7.7,9.3,No,11,34,599957.26
1447,Restaurant 1447,Rural,Indian,4.3,44,34.08,1425,17351,16,95,266.22163946306125,9.5,7.0,Yes,30,32,357952.89
1448,Restaurant 1448,Suburban,Italian,3.2,67,55.62,2964,30495,14,495,156.8654580648756,2.0,9.7,No,43,5,845592.77
1449,Restaurant 1449,Downtown,Italian,3.3,86,46.76,5008,51898,7,119,198.944248750434,6.1,5.0,Yes,19,6,904741.74
1450,Restaurant 1450,Downtown,Italian,3.3,78,50.95,3617,40151,9,231,181.3570757856048,1.7,6.4,Yes,5,20,892546.7
1451,Restaurant 1451,Rural,Italian,4.3,48,48.53,3063,35006,3,949,296.66918741583174,1.2,6.4,Yes,44,14,528004.9
1452,Restaurant 1452,Rural,Japanese,4.5,38,70.8,2047,29642,14,222,249.2049733108197,5.2,1.0,No,4,1,611648.2
1453,Restaurant 1453,Downtown,Indian,4.7,85,36.08,8689,96335,1,553,198.85002054879695,6.8,1.2,Yes,58,66,700059.37
1454,Restaurant 1454,Rural,French,4.9,35,55.98,2396,24505,14,359,201.64649732740185,1.6,2.3,Yes,13,11,451917.47
1455,Restaurant 1455,Rural,French,3.4,37,62.27,1177,19911,18,258,112.20042816434784,4.3,5.6,No,14,14,532544.42
1456,Restaurant 1456,Rural,Mexican,3.6,32,31.98,2849,28788,3,998,233.6882358549413,1.8,4.9,No,16,29,239613.84
1457,Restaurant 1457,Suburban,Japanese,3.5,54,73.46,2129,27727,6,272,295.7082157422417,4.3,5.9,Yes,14,32,888340.97
1458,Restaurant 1458,Suburban,Italian,3.7,56,46.0,3297,35240,4,989,82.35782638661932,5.2,8.2,No,24,45,586703.5
1459,Restaurant 1459,Rural,Italian,4.8,30,48.27,2768,30906,1,392,209.3152994922748,4.0,8.4,Yes,10,28,332649.46
1460,Restaurant 1460,Rural,American,4.2,50,42.15,3738,41365,3,657,179.47033038007362,6.2,9.8,No,13,12,482585.5
1461,Restaurant 1461,Suburban,American,4.5,53,36.5,2026,24334,18,169,262.6027981727674,6.3,6.0,No,27,12,453822.7
1462,Restaurant 1462,Suburban,Mexican,4.0,65,32.45,2532,24710,3,597,50.01171744790162,4.0,4.1,Yes,57,58,478935.0
1463,Restaurant 1463,Downtown,Italian,3.1,83,45.65,1866,18041,16,83,84.14622185090316,4.5,3.8,No,30,27,856399.15
1464,Restaurant 1464,Downtown,Mexican,3.1,70,28.68,4579,44396,7,997,59.26819652972277,5.0,4.1,No,26,23,463702.02
1465,Restaurant 1465,Suburban,Japanese,4.1,53,74.31,3531,36132,9,439,90.7333170924894,4.4,3.9,Yes,40,38,889443.45
1466,Restaurant 1466,Rural,French,4.4,39,63.52,1928,19637,2,983,226.9840700821873,7.8,4.5,Yes,35,29,560579.45
1467,Restaurant 1467,Rural,Italian,3.4,40,52.09,2597,30228,3,903,84.91785609557965,2.3,1.7,Yes,15,35,471125.8
1468,Restaurant 1468,Rural,Indian,4.4,36,39.58,3500,44326,1,338,205.58276284924688,8.7,6.7,No,34,3,330355.48
1469,Restaurant 1469,Rural,Japanese,4.6,33,72.8,2510,31137,6,616,267.0514394300577,4.0,6.1,Yes,12,12,545476.65
1470,Restaurant 1470,Downtown,Italian,3.8,70,50.71,2048,20042,15,584,58.655889483847794,7.5,5.2,No,20,0,804990.6
1471,Restaurant 1471,Suburban,Indian,4.5,50,40.78,1369,18786,5,942,56.69660397003163,9.0,1.7,Yes,46,43,465397.22
1472,Restaurant 1472,Rural,American,3.8,46,42.64,2572,30469,13,814,297.46206857695245,9.0,1.8,No,19,16,456457.21
1473,Restaurant 1473,Downtown,Mexican,4.4,79,31.62,6552,71182,8,605,218.31864138846817,5.1,5.9,Yes,71,23,578127.0
1474,Restaurant 1474,Rural,American,4.5,34,39.5,2144,27561,13,149,85.17380543560219,3.3,1.3,Yes,19,33,316363.05
1475,Restaurant 1475,Suburban,French,5.0,56,64.93,3495,44901,19,77,126.67299747859607,6.5,7.5,Yes,31,38,834423.24
1476,Restaurant 1476,Downtown,American,3.7,77,38.25,6509,66679,9,625,296.25128831825486,2.7,9.9,Yes,5,41,676416.7
1477,Restaurant 1477,Suburban,Italian,3.8,51,45.1,3500,41577,3,865,106.80414351348412,8.1,6.4,Yes,13,6,523887.65
1478,Restaurant 1478,Suburban,Indian,3.3,58,32.16,1879,18432,14,364,238.20664128202625,7.4,7.5,Yes,33,22,436183.22
1479,Restaurant 1479,Downtown,American,3.4,73,36.2,6142,65334,7,876,110.29551928640564,8.2,5.0,Yes,35,20,608552.1
1480,Restaurant 1480,Downtown,Italian,4.4,81,48.51,3281,39425,13,860,149.61690762098448,4.9,7.0,No,75,42,893757.31
1481,Restaurant 1481,Downtown,French,4.8,80,64.08,8397,93598,9,732,270.1760629366641,6.0,6.9,Yes,33,59,1162766.36
1482,Restaurant 1482,Downtown,Indian,3.8,74,37.17,5484,60258,11,702,57.10973531043596,1.9,8.4,No,15,23,632582.38
1483,Restaurant 1483,Downtown,American,3.4,81,36.86,1803,24183,9,633,126.8087898471852,7.2,7.4,Yes,43,66,679356.93
1484,Restaurant 1484,Downtown,Mexican,3.6,90,33.68,7154,78881,11,604,171.798177100161,5.4,7.7,No,34,27,699320.33
1485,Restaurant 1485,Downtown,Mexican,3.9,73,30.55,7579,76695,14,289,206.3736844567105,5.6,6.0,No,58,65,527741.75
1486,Restaurant 1486,Rural,Indian,3.6,42,35.64,1266,18131,15,830,57.06041374038469,8.6,5.4,Yes,12,3,354816.87
1487,Restaurant 1487,Suburban,Mexican,3.5,50,28.98,1595,16633,17,553,152.66774160966492,8.0,5.1,No,26,16,346428.31
1488,Restaurant 1488,Downtown,American,4.5,87,44.51,2197,30420,1,468,136.07179547626478,5.8,4.5,Yes,40,83,865426.26
1489,Restaurant 1489,Rural,American,3.0,33,38.5,845,6773,3,780,56.7166504795958,4.2,3.4,Yes,29,25,290284.65
1490,Restaurant 1490,Rural,Indian,4.1,33,31.04,1483,21294,3,700,138.84192769184406,5.0,1.3,Yes,32,21,236810.4
1491,Restaurant 1491,Rural,American,4.6,37,38.33,2881,36712,3,454,282.9220722791291,4.2,7.0,No,35,18,328284.58
1492,Restaurant 1492,Suburban,Italian,3.5,69,52.87,3142,31743,4,761,118.65711068334775,2.4,9.1,No,47,30,820561.71
1493,Restaurant 1493,Downtown,French,4.2,75,62.23,7641,79231,17,923,196.3978243793888,6.8,9.4,No,44,41,1069786.35
1494,Restaurant 1494,Rural,Mexican,4.3,33,27.07,3973,40168,4,203,124.52392684232144,7.2,6.2,Yes,19,24,215872.8
1495,Restaurant 1495,Suburban,Italian,4.3,53,46.23,3933,40350,13,399,76.66653015767687,9.7,1.8,No,26,29,566599.26
1496,Restaurant 1496,Suburban,Indian,3.9,60,37.27,1323,12853,7,263,122.43087001006975,5.1,8.9,Yes,32,47,509825.28
1497,Restaurant 1497,Suburban,Mexican,3.7,58,32.44,812,13451,4,611,167.68978472750644,10.0,7.7,No,31,53,430740.39
1498,Restaurant 1498,Rural,Italian,4.7,43,49.03,2682,28932,8,98,124.05209946160991,2.7,3.3,Yes,41,8,480783.58
1499,Restaurant 1499,Downtown,American,4.5,73,44.27,5373,53996,11,408,206.04233028851533,6.9,8.2,Yes,35,29,740703.07
1500,Restaurant 1500,Rural,Indian,3.6,42,40.76,1110,19185,19,547,287.2721804954881,10.0,5.2,No,6,40,407103.69
1501,Restaurant 1501,Rural,Indian,3.2,35,32.26,1617,18387,7,907,67.31789100427316,6.8,9.0,Yes,21,31,269009.27
1502,Restaurant 1502,Downtown,Mexican,3.1,82,31.35,5963,62000,9,805,229.2510901685828,5.1,3.2,No,24,58,592358.5
1503,Restaurant 1503,Downtown,American,3.2,72,35.06,1402,19406,4,396,50.31410177357829,5.6,8.2,No,10,47,569589.8
1504,Restaurant 1504,Downtown,Mexican,4.2,76,32.84,3253,33688,4,391,50.25537476263604,8.6,7.4,Yes,2,64,568102.3
1505,Restaurant 1505,Suburban,Japanese,3.1,50,69.56,3014,36368,1,830,83.22983867758397,9.5,1.1,No,4,20,777650.84
1506,Restaurant 1506,Downtown,Italian,3.7,80,47.13,3711,44996,6,472,169.98262604841244,5.1,6.1,Yes,54,35,850272.47
1507,Restaurant 1507,Rural,Japanese,4.5,31,73.27,3845,44347,3,488,62.00100872870849,8.0,7.4,No,11,2,518043.39
1508,Restaurant 1508,Downtown,Italian,3.6,74,53.92,6832,68771,3,824,230.5379419403505,9.4,2.4,Yes,43,15,901189.43
1509,Restaurant 1509,Rural,French,4.5,43,56.22,4295,49360,1,293,57.3203862806849,3.5,5.8,No,8,6,545357.32
1510,Restaurant 1510,Suburban,Indian,4.5,62,30.45,1131,14681,7,732,173.85794368163783,5.4,3.7,No,47,15,430782.55
1511,Restaurant 1511,Rural,Mexican,3.5,45,28.67,808,9803,9,603,219.02465941342297,10.0,7.3,No,10,27,304161.79
1512,Restaurant 1512,Rural,French,4.5,44,61.89,3592,44834,3,957,109.38765149823752,4.2,5.9,No,2,11,614770.31
1513,Restaurant 1513,Downtown,French,4.5,72,63.73,6845,75931,15,574,194.8245342797225,6.6,6.6,No,71,24,1047761.04
1514,Restaurant 1514,Downtown,Indian,3.8,75,36.01,4631,54778,3,829,115.44535374147311,6.9,1.7,No,54,29,613096.48
1515,Restaurant 1515,Rural,Indian,3.4,38,36.39,3333,36607,11,765,103.52431517149408,2.4,2.2,No,8,7,325043.28
1516,Restaurant 1516,Downtown,Italian,4.0,72,53.8,3420,42332,18,343,254.59735358813396,8.3,6.0,No,66,10,885489.8
1517,Restaurant 1517,Suburban,Japanese,4.8,62,70.82,3421,40371,3,820,133.22833532016,4.7,2.6,Yes,42,59,984186.83
1518,Restaurant 1518,Suburban,American,4.3,62,41.72,3172,31837,7,249,253.49489174189733,5.5,5.5,No,57,41,589910.57
1519,Restaurant 1519,Downtown,Italian,3.3,76,50.68,3684,39056,9,367,104.22735294463826,6.8,7.2,No,56,54,873305.52
1520,Restaurant 1520,Suburban,American,4.4,54,44.69,4390,50787,17,720,138.96639262942207,4.7,8.3,No,41,35,565964.73
1521,Restaurant 1521,Downtown,French,3.9,77,57.59,4812,49090,9,249,75.66470341492949,3.9,2.3,No,15,48,997038.84
1522,Restaurant 1522,Rural,American,4.2,37,37.9,2866,36688,10,342,174.12509707356523,5.9,7.7,Yes,7,29,332085.5
1523,Restaurant 1523,Rural,Japanese,4.5,36,66.41,921,13516,13,329,145.3985730987231,4.1,4.3,No,0,5,543823.79
1524,Restaurant 1524,Suburban,Italian,4.0,68,54.01,3918,45022,5,141,51.48915491470725,4.9,7.1,Yes,62,34,828911.98
1525,Restaurant 1525,Downtown,Indian,4.6,76,34.53,7918,82455,14,629,166.2137819236978,2.0,2.3,Yes,42,13,610024.22
1526,Restaurant 1526,Downtown,Japanese,4.4,73,68.83,7589,83151,4,113,68.6036591119387,8.6,5.6,Yes,12,36,1130556.1
1527,Restaurant 1527,Suburban,Japanese,4.2,59,75.79,4084,42560,14,193,259.2390114425604,4.7,8.5,Yes,44,27,1013903.68
1528,Restaurant 1528,Rural,Italian,3.3,42,55.19,1809,18915,11,835,173.42329358175638,1.7,2.0,Yes,1,39,528024.47
1529,Restaurant 1529,Suburban,Indian,4.7,53,40.69,2520,29917,10,629,222.51267413089775,8.1,8.4,Yes,32,51,500449.95
1530,Restaurant 1530,Rural,Japanese,4.9,48,66.57,4077,47369,5,284,255.28399890514865,1.2,5.1,Yes,13,40,720514.0
1531,Restaurant 1531,Downtown,Indian,3.3,79,39.8,3699,37925,12,473,62.79447643756323,6.4,8.4,No,73,4,719435.15
1532,Restaurant 1532,Rural,Mexican,4.0,36,28.62,3497,39742,15,363,134.2994377131878,7.3,9.6,No,3,20,257706.94
1533,Restaurant 1533,Suburban,Mexican,3.5,54,25.14,2164,26977,13,172,56.27945673553074,2.7,2.4,No,46,48,320157.65
1534,Restaurant 1534,Downtown,Mexican,4.5,72,29.3,2754,32199,8,862,62.40664649243753,2.2,7.1,Yes,32,60,484812.95
1535,Restaurant 1535,Suburban,American,4.4,51,40.6,4039,40049,4,102,59.458112809265145,2.0,3.1,No,46,5,470346.95
1536,Restaurant 1536,Suburban,Japanese,3.3,60,66.19,1648,17776,13,76,169.47663530044915,9.9,2.2,No,12,49,896336.99
1537,Restaurant 1537,Rural,Italian,4.8,39,50.91,4177,50517,15,423,162.6695118914065,7.8,6.7,No,4,23,468084.23
1538,Restaurant 1538,Suburban,Italian,3.4,62,54.01,993,16138,9,85,65.3101115332443,3.8,2.0,Yes,7,51,750846.76
1539,Restaurant 1539,Rural,American,4.6,36,39.15,2017,23871,6,661,115.59211658789816,4.0,5.2,No,7,15,325660.95
1540,Restaurant 1540,Downtown,Italian,3.9,79,48.88,3211,37464,18,190,111.122798876693,6.8,6.7,No,73,6,881354.1
1541,Restaurant 1541,Rural,Mexican,3.7,33,28.73,2412,31077,9,996,124.15378352310157,5.1,5.5,Yes,20,25,230388.41
1542,Restaurant 1542,Downtown,Japanese,3.3,89,75.15,2380,24878,6,737,210.19059969720837,3.4,7.3,No,54,20,1487947.65
1543,Restaurant 1543,Rural,Italian,3.3,45,45.54,1263,12099,7,237,224.26681805589345,1.5,8.2,Yes,44,17,466398.09
1544,Restaurant 1544,Suburban,Italian,4.3,69,49.9,2358,24546,12,767,134.76785746252585,8.1,8.9,Yes,62,16,784729.4
1545,Restaurant 1545,Rural,French,4.1,35,57.91,878,16731,4,667,247.0576594476725,9.0,6.0,Yes,23,20,461357.83
1546,Restaurant 1546,Rural,French,3.2,38,64.83,1169,14889,11,662,154.46504400173205,2.9,3.5,No,27,5,559611.77
1547,Restaurant 1547,Downtown,French,3.2,82,56.06,5327,51830,3,672,180.6006727112884,1.6,5.6,No,30,18,1027942.36
1548,Restaurant 1548,Suburban,Japanese,3.1,56,69.53,2018,26301,7,503,86.3874001048737,2.1,4.5,No,11,1,869198.33
1549,Restaurant 1549,Rural,Mexican,4.5,47,29.47,1058,15794,2,228,108.22386101649175,4.7,3.0,Yes,44,18,313844.55
1550,Restaurant 1550,Suburban,Indian,4.4,63,39.77,1501,20453,10,63,231.88880885522204,3.7,5.8,Yes,23,51,569799.82
1551,Restaurant 1551,Rural,Mexican,3.1,34,27.37,2711,32315,3,812,294.26055912992024,1.7,1.2,No,27,21,216867.03
1552,Restaurant 1552,Rural,Mexican,4.1,42,32.09,2401,30862,17,732,226.16338890747048,5.1,6.5,No,17,15,325599.3
1553,Restaurant 1553,Suburban,Japanese,3.2,57,66.48,1205,17772,11,308,63.54959645551965,2.8,8.4,No,32,24,853504.82
1554,Restaurant 1554,Rural,Japanese,4.8,44,75.49,3646,40057,1,714,85.72283830009894,1.6,10.0,Yes,14,43,747424.42
